Lake-link,Space,SpaceSpec,MaxDeep,AvrDeep,Long,Wide,Latitude,Longitude
https://www.wassertemperatur.org/deutschland/nrw/stemmer-see/,,,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/straberger-see/,39.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/sulzberger-see/,33.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/sylvensteinsee/,3.92,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/tachinger-see/,2.36,km²,,,,,,
https://www.wassertemperatur.org/tegernsee/,8.9,km²,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/tenderingssee/,45.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/thumsee/,15.55,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/thunersee/,48.0,km²,,,,,,
https://www.wassertemperatur.org/titisee/,1.3,km²,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/toeppersee/,54.0,ha,,,,,,
https://www.wassertemperatur.org/lago-trasimeno/,128.0,km²,,,,,,
https://www.wassertemperatur.org/oesterreich/traunsee/,24.36,km²,,,,,,
https://www.wassertemperatur.org/oesterreich/turnersee/,44.2,ha,,,,,,
https://www.wassertemperatur.org/deutschland/hessen/twistesee/,76.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/tuerlersee/,49.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/unterbacher-see/,87.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/unterschleissheimer-see/,7.9,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/untreusee/,60.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/urbansee/,9.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/urnersee/,26.8,km²,,,,,,
https://www.wassertemperatur.org/oesterreich/vassacher-see/,4.4,ha,,,,,,
https://www.wassertemperatur.org/vierwaldstaettersee/,,,,,,,,
